,date,spot_volume_daily_sum,spot_selling_volume_sum,spot_buying_volume_sum,AGG_Volume
0,2019-03-30 00:00:00+00:00,352262079.5733646,152050213.390744,200211866.18262064,
1,2019-03-31 00:00:00+00:00,306640858.9068106,130282102.08524977,176358756.82156083,
2,2019-04-01 00:00:00+00:00,492485234.3054373,221690326.79467568,270794907.5107616,13585991.426467896
3,2019-04-02 00:00:00+00:00,1615585465.166938,765021258.3913184,850564206.7756195,34795878.61251831
4,2019-04-03 00:00:00+00:00,1901666826.7000377,928372104.978441,973294721.7215966,61914856.57234192
5,2019-04-04 00:00:00+00:00,1168433638.969993,566429890.1481849,602003748.8218082,30603888.902664185
6,2019-04-05 00:00:00+00:00,887012884.2034277,414809903.50487214,472202980.6985556,29764423.088264465
7,2019-04-06 00:00:00+00:00,879789780.2958695,407138582.330319,472651197.9655505,
8,2019-04-07 00:00:00+00:00,841910678.9968644,390534332.70641,451376346.29045445,
9,2019-04-08 00:00:00+00:00,1013746644.8403434,488680294.3445632,525066350.49578017,50552927.435302734
10,2019-04-09 00:00:00+00:00,783386500.2577356,371631599.89995784,411754900.3577778,21347599.57075119
11,2019-04-10 00:00:00+00:00,894382668.3574346,413042380.53659403,481340287.82084066,49915081.17055893
12,2019-04-11 00:00:00+00:00,1063977406.2424333,527378731.19061464,536598675.0518187,37228733.14704895
13,2019-04-12 00:00:00+00:00,729671115.5163423,341042450.0228691,388628665.49347323,21319649.24812317
14,2019-04-13 00:00:00+00:00,542498356.6077652,248813686.35486478,293684670.2529004,
15,2019-04-14 00:00:00+00:00,523842991.0194429,230967688.92840502,292875302.09103787,
16,2019-04-15 00:00:00+00:00,646975088.6833411,307655585.1983535,339319503.48498756,25344077.448892593
17,2019-04-16 00:00:00+00:00,661394149.7663375,301787508.8790132,359606640.88732433,26945313.230466843
18,2019-04-17 00:00:00+00:00,669117331.3297374,310050497.79575366,359066833.53398377,15148496.086120605
19,2019-04-18 00:00:00+00:00,665471041.4205388,301414889.30572647,364056152.1148123,15976260.220813751
20,2019-04-19 00:00:00+00:00,650229152.4758661,294924322.63234794,355304829.84351814,
21,2019-04-20 00:00:00+00:00,622327308.4977643,276345358.8697369,345981949.62802744,
22,2019-04-21 00:00:00+00:00,710268401.9245499,324327617.3680801,385940784.5564699,
23,2019-04-22 00:00:00+00:00,791541829.2496666,355775330.1135017,435766499.13616484,29917412.726402283
24,2019-04-23 00:00:00+00:00,1010279531.6917689,468449450.43103474,541830081.2607341,39427127.28767395
25,2019-04-24 00:00:00+00:00,1063729559.5307367,516835249.45678437,546894310.0739523,35174236.80238724
26,2019-04-25 00:00:00+00:00,1097058250.5590644,550705862.2593772,546352388.2996871,23759920.064926147
27,2019-04-26 00:00:00+00:00,1155468386.5742633,538535372.3553784,616933014.218885,29307504.979133606
28,2019-04-27 00:00:00+00:00,667485985.9675118,311449867.5399247,356036118.4275871,
