,date,blk,age_days,age_sply,window,CapMrktCurUSD,CapRealUSD,PriceBTC,PriceUSD,PriceRealUSD,DailyIssuedNtv,DailyIssuedUSD,AdrActCnt,TxCnt,TxTfrCnt,TxTfrValNtv,TxTfrValUSD,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMedNtv,TxTfrValMeanNtv,FeeTotNtv,FeeTotUSD,S2F,inf_pct_ann,SplyCur,dcr_sply,dcr_tic_sply_avg,tic_day,tic_price_avg,tic_pool_avg,DiffMean,pow_diff_avg,pow_hashrate_THs_avg,pow_work_TH,PoW_income_dcr,PoS_income_dcr,Fund_income_dcr,Total_income_dcr,PoW_income_usd,PoS_income_usd,Fund_income_usd,Total_income_usd,PoW_income_btc,PoS_income_btc,Fund_income_btc,Total_income_btc,dcr_tic_vol,dcr_tfr_vol,tic_tfr_vol_ratio,tic_usd_cost,tic_btc_cost,CapTicUSD,CapTicBTC,CapTicPriceUSD,CapTicPriceBTC,AdrActCntAdj,AdrActCnt_BTC,TxTfrCnt_BTC,DCRBTC_AdrActCnt,DCRBTC_TxTfrCnt,dcr_tic_buy,AdrDens,PriceUSD_BTC,CapRealBTC
1361,2019-10-31 00:00:00+00:00,393235.0,1361.0,0.5050356243196029,2730.0,166956490.6964232,220105504.54439542,0.0017194537410870855,15.7420758020643,20.75341618966906,5206.860106240958,81966.78648318973,19972.0,5235.0,14108.0,393779.78792544,6198911.270843081,80553.13192189,1268073.5088080778,0.20129014,27.91180805,1.4589524,22.966939272403636,5.580492570581729,0.17919565116377473,10605748.11071166,10613543.94178031,5307755.762553271,1545.0,127.45508059520533,40500.88958990536,30287607452.529205,30285540110.93307,449231.7192429022,12919545000000,3124.991435184575,1562.0580318722873,520.6860106240958,5207.735477680958,49216.818992749686,24590.03594495692,8196.678648318974,81980.56664675317,5.3757868152554655,2.685886526697934,0.8952955088993115,8.954460249690463,196918.09951959224,196861.68840584776,0.5000716277415376,3099899.6494358624,338.5915629067219,5285424109.14894,950518.9367726251,498.3546708799103,0.08962299753400838,15823.857142857143,45705.0,57488.0,0.4369762608029756,0.24540773726690787,196918.09951959224,19.508894706003264,9155.27729877265,46070.84617886949
1362,2019-11-01 00:00:00+00:00,393506.0,1362.0,0.5052463739545334,2732.0,189585242.20854524,221171616.32957637,0.0019314143196960875,17.8682503071458,20.845239615569394,4425.742333540693,79080.27181063665,17408.0,4030.0,11773.0,2209533.34599058,39480494.88814507,612983.54812158,10952943.471998744,0.34333641,187.6780214,1.22141607,21.824568067930315,6.56815676775787,0.1522497156141058,10610173.8530452,10617969.69651601,5321850.155022336,1596.0,126.30120593088229,40639.94117647059,31355231291.90854,31360744114.319866,450488.7867647059,12956041000000,2656.1782497664153,1327.7227000622079,442.5742333540693,4426.4751831826925,47483.08239529067,23724.081543190998,7908.027181063666,79093.3665514774,5.132539767752051,2.5643826354857016,0.8547942118285672,8.549357554578414,201576.72466568815,2007956.621324892,0.0912304514577566,3601823.372421127,389.3281725367456,5289025932.521361,950908.2649451619,498.48626476590397,0.08962230761866771,13250.0,46624.0,67023.0,0.37336993822923814,0.17565611804902795,201576.72466568815,126.68746243052504,9251.38129345412,46186.08429860144
1363,2019-11-02 00:00:00+00:00,393791.0,1363.0,0.5054679677995919,2734.0,202659322.1962474,222466757.6925512,0.002052871624780829,19.0920978753954,20.95811367500324,4653.470746228471,88844.51894728324,18526.0,4608.0,10719.0,666777.70112847,12730185.13107589,103455.52800025,1975183.0663314823,0.67108864,62.20521514,0.98449582,18.79609055335765,6.2494684680008,0.16001360837650552,10614827.32379143,10622648.58726084,5325148.328061834,1254.0,124.5475702788808,40713.10839160839,30254317549.566772,30254737079.51283,405327.8671328671,12993075000000,2792.673145229083,1396.0412238685415,465.3470746228472,4654.061443720471,53336.78511325532,26653.355684184975,8884.451894728325,88855.79660161525,5.735020500661809,2.8658934155040297,0.95529780516801,9.554190677800255,156182.65312971652,510595.0479987535,0.2342349674642529,2981854.4999914775,320.6229368929818,5292007787.021353,951228.8878820549,498.54864573822766,0.08961322298197241,14457.142857142857,41321.0,61484.0,0.44834345732194286,0.17433803916466073,156182.65312971652,35.771825757617016,9300.19083752192,46325.34395311837
1364,2019-11-03 00:00:00+00:00,394093.0,1364.0,0.5057035490778571,2736.0,232148387.84588334,225060939.01656044,0.0023736013649912394,21.8600109801015,21.192628748126833,4947.206843569875,108145.99592127075,21604.0,5323.0,12486.0,699693.19008102,15295300.817873344,76412.88875112,1670386.5871207577,0.67108864,56.03821801,1.26618592,27.67883811404992,5.881151447000396,0.1700347302754866,10619774.530635,10627600.74608334,5322539.900954112,1798.0,124.84930082521475,40759.171617161715,29059894492.28053,29062402803.01083,438819.88118811883,13030768000000,2969.0838176939246,1484.1620530709624,494.7206843569875,4947.966555121875,64931.88369374492,32443.798776381223,10814.599592127075,108162.60322413918,7.050426823079745,3.522809075037437,1.1742696916791455,11.744500169168283,224479.04288373614,475214.14719728386,0.32082496452158255,4907114.3422411475,532.8237626007631,5296914901.363594,951761.7116446557,498.7784708689922,0.08962164958390562,17255.285714285714,51687.0,78258.0,0.41797744113606905,0.15954918347006056,224479.04288373614,32.18591352505581,9209.63869608416,46607.025071087985
1365,2019-11-04 00:00:00+00:00,394365.0,1365.0,0.5059152421919433,2738.0,223639431.72350287,225841255.11751154,0.0022349922869666808,21.0499622478222,21.25720789749617,4445.5553958099335,93578.77325240138,19225.0,4876.0,11447.0,2892847.53365784,60894331.3722031,643235.95806937,13540092.633801982,0.67108864,252.71665359,1.09234311,22.993781227168693,6.5475401156692365,0.15272911388612212,10624220.08603081,10632046.30285367,5347381.807967787,1631.0,126.96705691593442,41023.82417582418,30320233309.891815,30313497459.87309,419252.99267399264,13066190000000,2667.98864335196,1333.66661874298,444.55553958099335,4446.210801675934,56184.0540014043,28073.631975720415,9357.877325240139,93592.56952113769,5.9653754180319005,2.9807346062754934,0.9935782020918311,9.937246847973654,207083.26982988903,2685764.263827951,0.0715845779704968,4359095.0120747425,462.82951082964195,5301273996.375669,952224.5411554853,498.9800619196524,0.08962771228803063,14836.857142857143,36991.0,51847.0,0.5197210132194318,0.22078423052442764,207083.26982988903,150.24496181017932,9418.36013062537,46689.87559815732
1366,2019-11-05 00:00:00+00:00,394664.0,1366.0,0.5061478371565196,2740.0,209618422.13188615,225732883.8057564,0.0021135595149035665,19.7211741166468,21.237243654974293,4884.494256101549,96327.96169633983,20487.0,4698.0,12492.0,644920.37190039,12718586.9456202,347291.89418588,6849003.914539816,0.67108864,51.62667082,1.1590752,22.858323833487212,5.9618934816358315,0.1677319467515241,10629104.58028691,10636934.76513147,5377476.326411135,1744.0,129.94952433399996,41310.46,29960799344.030937,29962527653.341652,432942.67333333334,13104666000000,2931.391998780929,1465.3482768304646,488.4494256101549,4885.189701221549,57833.35033593748,28898.388508901946,9632.796169633983,96341.67669063991,6.1981212253530655,3.0971007931425736,1.0323669310475247,10.325139175125715,226631.97043849592,418288.4014618941,0.35141077924190606,4469448.549416329,479.00015750162686,5305743444.925085,952703.541312987,499.17125237108803,0.08963158976532253,15935.571428571428,35060.0,50963.0,0.5843411294922989,0.24511900790769775,226631.97043849592,31.257331152875555,9330.78722296902,46678.26121780918
1367,2019-11-06 00:00:00+00:00,394937.0,1367.0,0.5063598440733296,2742.0,199824239.40554282,225721450.8385703,0.0020087640029222637,18.7918534280821,21.227276692513176,4452.145253010094,83664.06103509718,17191.0,3902.0,10225.0,301644.34265696,5668456.274619766,66249.42394537,1244949.4644762657,0.67108864,29.50066921,0.96573057,18.14786732245818,6.54359426055789,0.15282121112361613,10633556.72553992,10641390.88298693,5385612.426750588,1300.0,132.23654042824865,41391.051094890514,29943655604.08607,29949059137.35142,407093.84671532846,13139776000000,2671.8665901480567,1335.6435759030282,445.2145253010094,4452.724691352094,50227.473208774245,25099.218310529155,8366.406103509718,83674.94975549066,5.369089351705607,2.6829927360083734,0.8943309120027911,8.944473074911233,171907.50255672325,129736.84010023676,0.5699012984713,3230460.591233592,345.3216029682127,5308973905.516318,953048.8629159553,499.2660539220243,0.0896265367754987,12533.285714285714,38102.0,69282.0,0.45118366489948036,0.14758523137322827,171907.50255672325,17.27570405277446,9354.93338229106,46677.039085409204
1368,2019-11-07 00:00:00+00:00,395212.0,1368.0,0.5065735802405176,2744.0,218922781.007055,226884421.8832534,0.002234262594973706,20.5792302249944,21.32764224409228,4488.459510948509,92369.04163137515,20175.0,4709.0,13330.0,3088892.59834158,63567031.92155253,479118.36615587,9859887.162144814,0.67108864,231.72487609,2.00427347,41.246405172978406,6.493392488674345,0.15400270378606892,10638045.18505087,10645879.34416559,5369906.968869977,1243.0,133.4449598585512,41257.97101449275,28570664216.839825,28568880830.561504,390260.3224637681,13173522000000,2694.2782706511052,1346.5378532845527,448.84595109485093,4489.662075030508,55487.41922710185,27710.712489412545,9236.904163137515,92393.78947447891,6.024203233810327,3.008519158309868,1.0028397194366228,10.031084038312697,165872.08510417913,2923020.513237401,0.053699531409164405,3413519.8272587666,370.6017952985627,5312387425.343577,953419.4647112538,499.3762794699179,0.08962355847586059,15646.714285714286,53731.0,67060.0,0.37548156557666895,0.19877721443483448,165872.08510417913,152.88051115872585,9210.74822238457,46803.301471113846
1369,2019-11-08 00:00:00+00:00,395523.0,1369.0,0.5068146619121566,2746.0,214777504.0774144,227289609.37631398,0.002295437906487434,20.1799611628743,21.35556751923916,5062.715104419738,102165.39418588742,17319.0,4811.0,11205.0,544107.82870642,10980074.851711418,168460.94802315,3399535.388568153,0.67108864,48.55937784,1.08041366,21.802705698638878,5.759597197360945,0.1736232527611829,10643107.90015529,10650942.06434793,5368179.803884546,1656.0,136.0281501036546,41212.708333333336,27810199160.76466,27822008912.482548,422001.4743589744,13210670000000,3038.2773108478427,1518.8145313259213,506.2715104419738,5063.363352615738,61334.12084065027,30649.61825576622,10216.539418588742,102178.4758093066,6.976656932210694,3.4863444481294663,1.1621148160431556,11.622636173913467,225262.61657165203,318845.212134768,0.4140036306906277,4545790.853863383,517.0763489931145,5316933216.197441,953936.5410602469,499.5658473141914,0.08962950953887523,12765.0,51360.0,60057.0,0.3372079439252336,0.1865727558819122,225262.61657165203,31.153867354144005,8791.33393495032,46849.39089236194
1370,2019-11-09 00:00:00+00:00,395812.0,1370.0,0.5070398707326567,2748.0,213141240.9007395,227638141.22955358,0.0022719119812974918,20.0173270109299,21.378814789176772,4729.385230500251,94669.65071958561,13533.0,4231.0,8788.0,450575.09174369,9019308.954413183,105609.65819442,2114023.063590238,0.67108864,51.27163083,0.77785531,15.57058410745825,6.168276747288093,0.16211983362122231,10647837.28538579,10655691.91238347,5397929.540143896,1448.0,138.32449889875838,41384.675862068965,28808071209.54737,28795091114.905865,423780.98620689654,13246428000000,2838.0978514861504,1418.8155691500754,472.93852305002514,4729.851943686251,56826.703366323294,28400.895215875684,9466.96507195856,94678.99307005007,6.44967573168456,3.2234240908034764,1.074474696934492,10.745807300624023,200293.87440540214,250281.21733828788,0.4445293982636294,4009347.9822590575,455.0500530421281,5320942564.1797,954391.591113289,499.72049924943167,0.089632435726943,8895.857142857143,50714.0,71769.0,0.26684939070079267,0.12244841087377559,200293.87440540214,32.95189158993181,8810.78456195208,46888.94830643658
