,date,blk,age_days,age_sply,CapMrktCurUSD,CapRealUSD,PriceUSD,PriceRealUSD,DailyIssuedNtv,DailyIssuedUSD,AdrActCnt,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValNtv,TxTfrValUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,FeeTotNtv,FeeTotUSD,S2F,inf_pct_ann,SplyCur,DiffMean,notes,PoW_income_btc,PoW_income_usd,AdrDens
973,2011-09-03 00:00:00+00:00,143843.0,973.0,0.3424785709523805,60770329.943531305,46748966.21070997,8.44965344067796,6.500089164523456,7250.0,61259.987444915205,14319.0,5738.0,13643.0,77138.53896581,651793.9211813273,222988.01547321,1884171.452173159,16.3445001446317,138.10536188324866,1.0,8.44965344067796,3.78630354,31.99295273421214,2.7178271100614038,0.3679409909107158,7192049.98999999,1777774.48200146,,7250.0,61259.987444915205,5.387145678176549
974,2011-09-04 00:00:00+00:00,143977.0,974.0,0.3427976185714281,59054733.91612383,46764961.27038977,8.20347060227937,6.496261341948595,6700.0,54963.25303527178,17822.0,7113.0,87886.0,116898.26624311,958971.4905827797,1761126.12133995,14447346.36331857,20.0387561311238,164.38734682791957,1e-08,8.20347060227937e-08,10.09660248,82.82718162758098,2.94367204661623,0.3397117559850142,7198749.98999999,1777774.48200146,,6700.0,54963.25303527178,6.5592114377236
975,2011-09-05 00:00:00+00:00,144133.0,975.0,0.3431690471428567,54750556.63301301,46738393.047966704,7.5973325251315,6.485543444896963,7800.0,59259.1936960257,18193.0,6841.0,17097.0,118117.00178084,897374.139400591,2289687.62375388,17395518.25633641,133.923356363916,1017.4602711783557,0.67681185,5.141964681399422,6.94492577,52.76291043704493,2.531278535300313,0.39505727483339137,7206549.98999999,1777774.48200146,,7800.0,59259.1936960257,6.492442245964932
976,2011-09-06 00:00:00+00:00,144284.0,976.0,0.3435285709523805,49391552.21324179,46650590.675419256,6.84653002893045,6.466584984971815,7550.0,51691.3017184249,18872.0,7852.0,17377.0,126912.82233083,868912.4491443426,3198031.30279975,21895417.348078057,184.038171306886,1260.0228663220414,1.06,7.257321830666277,6.63597124,45.433376365778834,2.6178354313707666,0.381994982578555,7214099.98999999,1777774.48200146,,7550.0,51691.3017184249,6.7249269993021406
977,2011-09-07 00:00:00+00:00,144420.0,977.0,0.34385238047619,51723091.97646155,46639838.492621705,7.16297027352426,6.459006295227995,6800.0,48708.19785996497,16855.0,6814.0,15912.0,156729.58572031,1122649.363496353,537859.7445,3852673.3611788535,33.8021458333333,242.12376578549836,1.0,7.16297027352426,8.10697566,58.07002566076472,2.90930700644641,0.34372446695526154,7220899.98999999,1777774.48200146,,6800.0,48708.19785996497,9.298699835082171
978,2011-09-08 00:00:00+00:00,144549.0,978.0,0.34415952333333283,48265544.15833018,46528795.16182534,6.67818000029223,6.437877676631708,6450.0,43074.26100188488,15832.0,6407.0,14818.0,97662.73935765,652209.352752011,383347.52086464,2560063.7469998472,25.8703955233257,172.76715798352333,1.0,6.67818000029223,4.56678507,30.497812720107152,3.069916104916636,0.3257418006956106,7227349.98999999,1777774.48200146,,6450.0,43074.26100188488,6.168692480902602
979,2011-09-09 00:00:00+00:00,144703.0,979.0,0.3445261899999995,36079581.18632356,46386415.25440777,4.98677704178843,6.411346890280137,7700.0,38398.18322177091,18354.0,7096.0,16810.0,178601.43130994,890645.5172869621,398288.23770472,1986174.6398002706,23.6935299050993,118.15435096967678,1.0,4.98677704178843,7.76884921,38.74151888154418,2.574292826899125,0.388456196416689,7235049.98999999,1777774.48200146,,7700.0,38398.18322177091,9.730926844826197
980,2011-09-10 00:00:00+00:00,144836.0,980.0,0.3448428566666662,34346272.5753336,46335478.349488944,4.74284665517242,6.3984255649189095,6650.0,31539.930256896594,16167.0,5933.0,14504.0,97096.00708853,460511.4724504321,268407.22702308,1273014.3189105194,18.5057382117402,87.76987857904845,1.0,4.74284665517242,5.33416102,25.299107751858106,2.9834998413842784,0.3351768235844859,7241699.98999999,1777774.48200146,,6650.0,31539.930256896594,6.005814751563679
981,2011-09-11 00:00:00+00:00,144961.0,981.0,0.34514047571428524,42421555.289174646,44564331.73931153,5.85290397253068,6.148542939837751,6250.0,36580.64982831675,15739.0,6463.0,14518.0,806582.56856923,4720850.319752846,1022791.93880042,5986303.001677334,70.4499200165601,412.33661672939326,1.0,5.85290397253068,5.22516294,30.582376928646088,3.17718355726027,0.3147441694751543,7247949.98999999,1777774.48200146,,6250.0,36580.64982831675,51.24738347857107
982,2011-09-12 00:00:00+00:00,145094.0,982.0,0.34545714238095193,44185080.50839478,44508064.40509869,6.09062947223846,6.135150727324768,6650.0,40502.685990385755,15899.0,6154.0,14062.0,110519.93075531,673135.9475280449,605445.26274247,3687542.761086446,43.0554162098187,262.2345869070153,1.0,6.09062947223846,5.12234141,31.198283558613507,2.9888144978885527,0.3345808181492862,7254599.98999999,1777774.48200146,,6650.0,40502.685990385755,6.951376234688345
