1_asset_folder,2_module_folder,3_chart_folder,chart_file_path,chart_title
btconchain,confluence,confluence_cycleextremeoscillators_1,checkonchain.com/btconchain/confluence/confluence_cycleextremeoscillators_1/confluence_cycleextremeoscillators_1_light.html,Bitcoin Cycle Extreme Oscillators
btconchain,confluence,confluence_zscore_boxwhisker,checkonchain.com/btconchain/confluence/confluence_zscore_boxwhisker/confluence_zscore_boxwhisker_light.html,Checkonchain Z-Score Confluence for Bitcoin
btconchain,confluence,confluence_onchainactivity,checkonchain.com/btconchain/confluence/confluence_onchainactivity/confluence_onchainactivity_light.html,Bitcoin On-chain Activity Strength Signal
