DATE,BOGMBASEW_CHG
1981-04-08,-625
1981-04-15,1995
1981-04-22,1892
1981-04-29,-1281
1981-05-06,171
1981-05-13,-743
1981-05-20,1837
1981-05-27,-799
1981-06-03,-292
1981-06-10,-205
1981-06-17,1012
1981-06-24,848
1981-07-01,72
1981-07-08,499
1981-07-15,793
1981-07-22,1927
1981-07-29,-2747
1981-08-05,-184
1981-08-12,224
1981-08-19,2277
1981-08-26,-951
1981-09-02,-1062
1981-09-09,-1391
1981-09-16,764
1981-09-23,509
1981-09-30,-1490
1981-10-07,-484
1981-10-14,1118
1981-10-21,2388
1981-10-28,-2046
1981-11-04,-114
1981-11-11,672
1981-11-18,2518
1981-11-25,449
1981-12-02,356
1981-12-09,-390
1981-12-16,1836
1981-12-23,1626
1981-12-30,532
1982-01-06,300
1982-01-13,-2718
1982-01-20,912
1982-01-27,-3455
1982-02-03,-106
1982-02-10,-1124
1982-02-17,2778
1982-02-24,-1427
1982-03-03,-546
1982-03-10,-2589
1982-03-17,2277
1982-03-24,314
1982-03-31,-683
1982-04-07,63
1982-04-14,1731
1982-04-21,2842
1982-04-28,-1846
1982-05-05,70
1982-05-12,-71
1982-05-19,1750
1982-05-26,-891
1982-06-02,1056
1982-06-09,-359
1982-06-16,1566
1982-06-23,-104
1982-06-30,-356
1982-07-07,1127
1982-07-14,77
1982-07-21,2373
1982-07-28,-2855
1982-08-04,172
1982-08-11,443
1982-08-18,2157
1982-08-25,-834
1982-09-01,-742
1982-09-08,-588
1982-09-15,305
1982-09-22,941
1982-09-29,-1807
1982-10-06,723
1982-10-13,562
1982-10-20,3173
1982-10-27,-1766
1982-11-03,-3
1982-11-10,423
1982-11-17,2445
1982-11-24,352
1982-12-01,253
1982-12-08,-389
1982-12-15,1465
1982-12-22,2154
1982-12-29,580
1983-01-05,-21
1983-01-12,-2874
1983-01-19,30
1983-01-26,-2870
1983-02-02,-712
1983-02-09,-536
1983-02-16,1759
1983-02-23,804
1983-03-02,-491
1983-03-09,-1677
1983-03-16,839
1983-03-23,1731
1983-03-30,-759
1983-04-06,754
1983-04-13,781
1983-04-20,2477
1983-04-27,-1733
1983-05-04,722
1983-05-11,-218
1983-05-18,1160
1983-05-25,-133
1983-06-01,626
1983-06-08,435
1983-06-15,367
1983-06-22,1046
1983-06-29,-566
1983-07-06,1831
1983-07-13,-618
1983-07-20,2507
1983-07-27,-2937
1983-08-03,415
1983-08-10,152
1983-08-17,1409
1983-08-24,-207
1983-08-31,-1051
1983-09-07,124
1983-09-14,-269
1983-09-21,1273
1983-09-28,-2347
1983-10-05,948
1983-10-12,789
1983-10-19,2314
1983-10-26,-485
1983-11-02,-1148
1983-11-09,862
1983-11-16,2135
1983-11-23,1260
1983-11-30,-9
1983-12-07,-303
1983-12-14,397
1983-12-21,2744
1983-12-28,212
1984-01-04,1929
1984-01-11,-2014
1984-01-18,-1742
1984-01-25,-2252
1984-02-01,-1209
1984-02-08,-1235
1984-02-15,0
1984-02-22,-326
1984-02-29,0
1984-03-07,2315
1984-03-14,0
1984-03-21,-150
1984-03-28,0
1984-04-04,2703
1984-04-11,0
1984-04-18,1307
1984-04-25,0
1984-05-02,-447
1984-05-09,0
1984-05-16,348
1984-05-23,0
1984-05-30,842
1984-06-06,0
1984-06-13,2673
1984-06-20,0
1984-06-27,33
1984-07-04,0
1984-07-11,2523
1984-07-18,0
1984-07-25,-2283
1984-08-01,0
1984-08-08,829
1984-08-15,0
1984-08-22,-1429
1984-08-29,0
1984-09-05,2758
1984-09-12,0
1984-09-19,-1460
1984-09-26,0
1984-10-03,932
1984-10-10,0
1984-10-17,-390
1984-10-24,0
1984-10-31,965
1984-11-07,0
1984-11-14,1807
1984-11-21,0
1984-11-28,1698
1984-12-05,0
1984-12-12,1659
1984-12-19,0
1984-12-26,3149
1985-01-02,0
1985-01-09,-815
1985-01-16,0
1985-01-23,-6330
1985-01-30,0
1985-02-06,-226
1985-02-13,0
1985-02-20,927
1985-02-27,0
1985-03-06,2470
1985-03-13,0
1985-03-20,-1126
1985-03-27,0
1985-04-03,2614
1985-04-10,0
1985-04-17,1692
1985-04-24,0
1985-05-01,-704
1985-05-08,0
1985-05-15,796
1985-05-22,0
1985-05-29,2028
1985-06-05,0
1985-06-12,2420
1985-06-19,0
1985-06-26,-280
1985-07-03,0
1985-07-10,3447
1985-07-17,0
1985-07-24,-2904
1985-07-31,0
1985-08-07,2042
1985-08-14,0
1985-08-21,-974
1985-08-28,0
1985-09-04,2842
1985-09-11,0
1985-09-18,-525
1985-09-25,0
1985-10-02,464
1985-10-09,0
1985-10-16,1568
1985-10-23,0
1985-10-30,76
1985-11-06,0
1985-11-13,2842
1985-11-20,0
1985-11-27,2138
1985-12-04,0
1985-12-11,2663
1985-12-18,0
1985-12-25,2173
1986-01-01,0
1986-01-08,-601
1986-01-15,0
1986-01-22,-7633
1986-01-29,0
1986-02-05,-1692
1986-02-12,0
